,date,day,call_volume,date_index,week_index
245,01-Sep-12,saturday,2120,245,35
246,02-Sep-12,sunday,986,246,36
247,03-Sep-12,monday,8595,247,36
248,04-Sep-12,tuesday,8246,248,36
249,05-Sep-12,wednesday,7582,249,36
250,06-Sep-12,thursday,7564,250,36
251,07-Sep-12,friday,7269,251,36
252,08-Sep-12,saturday,1931,252,36
253,09-Sep-12,sunday,838,253,37
254,10-Sep-12,monday,8815,254,37
255,11-Sep-12,tuesday,8046,255,37
256,12-Sep-12,wednesday,7758,256,37
257,13-Sep-12,thursday,7637,257,37
258,14-Sep-12,friday,6705,258,37
259,15-Sep-12,saturday,1885,259,37
260,16-Sep-12,sunday,864,260,38
261,17-Sep-12,monday,8569,261,38
262,18-Sep-12,tuesday,8005,262,38
263,19-Sep-12,wednesday,7654,263,38
264,20-Sep-12,thursday,7869,264,38
265,21-Sep-12,friday,7437,265,38
266,22-Sep-12,saturday,2040,266,38
267,23-Sep-12,sunday,1011,267,39
268,24-Sep-12,monday,10302,268,39
269,25-Sep-12,tuesday,9222,269,39
270,26-Sep-12,wednesday,9081,270,39
271,27-Sep-12,thursday,8545,271,39
272,28-Sep-12,friday,7902,272,39
273,29-Sep-12,saturday,2167,273,39
274,30-Sep-12,sunday,1075,274,40
275,01-Oct-12,monday,9941,275,40
276,02-Oct-12,tuesday,9025,276,40
277,03-Oct-12,wednesday,8320,277,40
278,04-Oct-12,thursday,8122,278,40
279,05-Oct-12,friday,7927,279,40
280,06-Oct-12,saturday,2112,280,40
281,07-Oct-12,sunday,941,281,41
282,08-Oct-12,monday,9635,282,41
283,09-Oct-12,tuesday,8874,283,41
284,10-Oct-12,wednesday,8231,284,41
285,11-Oct-12,thursday,8490,285,41
286,12-Oct-12,friday,7671,286,41
287,13-Oct-12,saturday,2119,287,41
288,14-Oct-12,sunday,1088,288,42
289,15-Oct-12,monday,9588,289,42
290,16-Oct-12,tuesday,9096,290,42
291,17-Oct-12,wednesday,8403,291,42
292,18-Oct-12,thursday,8582,292,42
293,19-Oct-12,friday,7903,293,42
294,20-Oct-12,saturday,2075,294,42
295,21-Oct-12,sunday,963,295,43
296,22-Oct-12,monday,9934,296,43
297,23-Oct-12,tuesday,9203,297,43
298,24-Oct-12,wednesday,8868,298,43
299,25-Oct-12,thursday,8854,299,43
300,26-Oct-12,friday,7785,300,43
301,27-Oct-12,saturday,2148,301,43
302,28-Oct-12,sunday,1190,302,44
303,29-Oct-12,monday,9769,303,44
304,30-Oct-12,tuesday,8834,304,44
305,31-Oct-12,wednesday,8478,305,44
306,01-Nov-12,thursday,8797,306,44
307,02-Nov-12,friday,7782,307,44
308,03-Nov-12,saturday,2261,308,44
309,04-Nov-12,sunday,1097,309,45
310,05-Nov-12,monday,10064,310,45
311,06-Nov-12,tuesday,8933,311,45
312,07-Nov-12,wednesday,8813,312,45
313,08-Nov-12,thursday,9025,313,45
314,09-Nov-12,friday,8114,314,45
315,10-Nov-12,saturday,2016,315,45
316,11-Nov-12,sunday,918,316,46
317,12-Nov-12,monday,9641,317,46
318,13-Nov-12,tuesday,9053,318,46
319,14-Nov-12,wednesday,8619,319,46
320,15-Nov-12,thursday,7965,320,46
321,16-Nov-12,friday,7413,321,46
322,17-Nov-12,saturday,2009,322,46
323,18-Nov-12,sunday,1038,323,47
324,19-Nov-12,monday,9551,324,47
325,20-Nov-12,tuesday,8845,325,47
326,21-Nov-12,wednesday,8396,326,47
327,22-Nov-12,thursday,8543,327,47
328,23-Nov-12,friday,8153,328,47
329,24-Nov-12,saturday,2421,329,47
330,25-Nov-12,sunday,1104,330,48
331,26-Nov-12,monday,10299,331,48
332,27-Nov-12,tuesday,9604,332,48
333,28-Nov-12,wednesday,8902,333,48
334,29-Nov-12,thursday,8441,334,48
335,30-Nov-12,friday,7704,335,48
336,01-Dec-12,saturday,2162,336,48
337,02-Dec-12,sunday,1145,337,49
338,03-Dec-12,monday,10018,338,49
339,04-Dec-12,tuesday,9000,339,49
340,05-Dec-12,wednesday,8776,340,49
341,06-Dec-12,thursday,8369,341,49
342,07-Dec-12,friday,7745,342,49
343,08-Dec-12,saturday,2130,343,49
344,09-Dec-12,sunday,1126,344,50
345,10-Dec-12,monday,9838,345,50
346,11-Dec-12,tuesday,9187,346,50
347,12-Dec-12,wednesday,8738,347,50
348,13-Dec-12,thursday,8605,348,50
349,14-Dec-12,friday,8000,349,50
350,15-Dec-12,saturday,2346,350,50
351,16-Dec-12,sunday,1158,351,51
352,17-Dec-12,monday,10004,352,51
353,18-Dec-12,tuesday,8968,353,51
354,19-Dec-12,wednesday,8748,354,51
355,20-Dec-12,thursday,8597,355,51
356,21-Dec-12,friday,7273,356,51
357,22-Dec-12,saturday,2304,357,51
358,23-Dec-12,sunday,1258,358,52
359,24-Dec-12,monday,4017,359,52
360,25-Dec-12,tuesday,382,360,52
361,26-Dec-12,wednesday,942,361,52
362,27-Dec-12,thursday,5111,362,52
363,28-Dec-12,friday,5317,363,52
364,29-Dec-12,saturday,2328,364,52
365,30-Dec-12,sunday,1215,365,53
366,31-Dec-12,monday,4593,366,53
367,01-Jan-13,tuesday,891,367,53
368,02-Jan-13,wednesday,9746,368,53
369,03-Jan-13,thursday,9850,369,53
370,04-Jan-13,friday,9110,370,53
371,05-Jan-13,saturday,2447,371,53
372,06-Jan-13,sunday,1105,372,54
373,07-Jan-13,monday,11137,373,54
374,08-Jan-13,tuesday,9929,374,54
375,09-Jan-13,wednesday,9030,375,54
376,10-Jan-13,thursday,9277,376,54
377,11-Jan-13,friday,8402,377,54
378,12-Jan-13,saturday,2314,378,54
379,13-Jan-13,sunday,1108,379,55
380,14-Jan-13,monday,10326,380,55
381,15-Jan-13,tuesday,9193,381,55
382,16-Jan-13,wednesday,9217,382,55
383,17-Jan-13,thursday,9226,383,55
384,18-Jan-13,friday,8058,384,55
385,19-Jan-13,saturday,2247,385,55
386,20-Jan-13,sunday,1077,386,56
387,21-Jan-13,monday,10059,387,56
388,22-Jan-13,tuesday,9493,388,56
389,23-Jan-13,wednesday,8885,389,56
390,24-Jan-13,thursday,8536,390,56
391,25-Jan-13,friday,7661,391,56
392,26-Jan-13,saturday,2390,392,56
393,27-Jan-13,sunday,1289,393,57
394,28-Jan-13,monday,10398,394,57
395,29-Jan-13,tuesday,9718,395,57
396,30-Jan-13,wednesday,8827,396,57
397,31-Jan-13,thursday,9586,397,57
398,01-Feb-13,friday,8653,398,57
399,02-Feb-13,saturday,2422,399,57
400,03-Feb-13,sunday,1159,400,58
401,04-Feb-13,monday,10288,401,58
402,05-Feb-13,tuesday,9230,402,58
403,06-Feb-13,wednesday,8726,403,58
404,07-Feb-13,thursday,8886,404,58
405,08-Feb-13,friday,8005,405,58
406,09-Feb-13,saturday,2333,406,58
407,10-Feb-13,sunday,1194,407,59
408,11-Feb-13,monday,10115,408,59
409,12-Feb-13,tuesday,9014,409,59
410,13-Feb-13,wednesday,8042,410,59
411,14-Feb-13,thursday,8265,411,59
412,15-Feb-13,friday,7506,412,59
413,16-Feb-13,saturday,2228,413,59
414,17-Feb-13,sunday,1009,414,60
415,18-Feb-13,monday,9135,415,60
